Date of confirmation ,Cumulative confirmed cases
20/03/2020,1
21/03/2020,1
22/03/2020,1
23/03/2020,1
24/03/2020,2
25/03/2020,8
26/03/2020,11
27/03/2020,30
28/03/2020,36
29/03/2020,50
30/03/2020,72
31/03/2020,75
01/04/2020,153
02/04/2020,199
03/04/2020,233
04/04/2020,235
05/04/2020,241
06/04/2020,252
07/04/2020,331
08/04/2020,420
09/04/2020,498
10/04/2020,593
11/04/2020,666
12/04/2020,779
13/04/2020,829
14/04/2020,938
15/04/2020,1029
16/04/2020,1226
17/04/2020,1412
18/04/2020,1589
19/04/2020,1709
20/04/2020,2008
21/04/2020,2145
22/04/2020,2438
23/04/2020,2710
24/04/2020,2830
25/04/2020,3047
26/04/2020,3249
27/04/2020,3522
28/04/2020,3747
29/04/2020,3866
30/04/2020,4103
01/05/2020,4352
02/05/2020,4491
03/05/2020,4643
04/05/2020,4668
05/05/2020,4960
06/05/2020,5356
07/05/2020,5664
08/05/2020,5776
09/05/2020,6024
10/05/2020,6281
11/05/2020,6457
12/05/2020,6521
13/05/2020,6768
14/05/2020,6920
15/05/2020,7210
16/05/2020,7602
17/05/2020,7847
18/05/2020,8143
19/05/2020,8379
20/05/2020,8572
21/05/2020,8777
22/05/2020,9050
23/05/2020,9119
24/05/2020,9303
25/05/2020,9315
26/05/2020,9350
27/05/2020,9400
28/05/2020,9452
29/05/2020,9497
30/05/2020,9592
31/05/2020,9611
01/06/2020,9668
02/06/2020,9835
03/06/2020,9959
04/06/2020,10088
05/06/2020,10258
06/06/2020,10368
07/06/2020,10492
08/06/2020,10653
09/06/2020,10780
10/06/2020,10854
11/06/2020,10998
12/06/2020,11189
13/06/2020,11347
14/06/2020,11472
15/06/2020,11572
16/06/2020,11728
17/06/2020,11919
