"name" "continent"
"USA" "Americas"
"Iceland" "Europe"
"Singapore" "Asia"
"England" "Europe"
"Australia" "Oceania"
"Luxembourg" "Europe"
"Denmark" "Europe"
"France" "Europe"
"Portugal" "Europe"
"Wales" "Europe"
"Northern_Ireland" "Europe"
"Germany" "Europe"
"Austria" "Europe"
"Scotland" "Europe"
"Netherlands" "Europe"
"Taiwan" "Asia"
"Belgium" "Europe"
"Poland" "Europe"
"India" "Asia"
"Turkey" "Europe"
"Russia" "Europe"
"Hungary" "Europe"
"Spain" "Europe"
"Finland" "Europe"
"Thailand" "Asia"
"Italy" "Europe"
"DRC" "Africa"
"Argentina" "Americas"
"Japan" "Asia"
"Jordan" "Asia"
"South_Africa" "Africa"
"Sweden" "Europe"
"Czech_Republic" "Europe"
"Vietnam" "Asia"
"Korea" "Asia"
"Norway" "Europe"
"Hong_Kong" "Asia"
"Canada" "Americas"
"Kuwait" "Asia"
"Philippines" "Asia"
"Indonesia" "Asia"
"NewZealand" "Oceania"
"Guangzhou" "Asia"
"China" "Asia"
"Shanghai" "Asia"
"Malaysia" "Asia"
"Senegal" "Africa"
"Colombia" "Americas"
"Uruguay" "Americas"
"Guangdong" "Asia"
"Greece" "Europe"
"Saudi_Arabia" "Asia"
"Kazakhstan" "Asia"
"Latvia" "Europe"
"Brazil" "Americas"
"Switzerland" "Europe"
"Fujian" "Asia"
"United_Arab_Emirates" "Asia"
"Qatar" "Asia"
"Hangzhou" "Asia"
"Nanchang" "Asia"
"Ghana" "Africa"
"Shandong" "Asia"
"New_Zealand" "Oceania"
"Algeria" "Africa"
"Anhui" "Asia"
"Beijing" "Asia"
"Brunei" "Asia"
"Chile" "Americas"
"Chongqing" "Asia"
"Ecuador" "Americas"
"Egypt" "Africa"
"env" "Asia"
"Foshan" "Asia"
"Fuyang" "Asia"
"Gambia" "Africa"
"Georgia" "Asia"
"Hefei" "Asia"
"Iran" "Asia"
"Ireland" "Europe"
"Israel" "Asia"
"Jian" "Asia"
"Jiangsu" "Asia"
"Lishui" "Asia"
"Mexico" "Americas"
"NetherlandsL" "Europe"
"Pakistan" "Asia"
"Panama" "Americas"
"Peru" "Americas"
"Shangrao" "Asia"
"Slovakia" "Europe"
"Slovenia" "Europe"
"South_Korea" "Asia"
"Sri_Lanka" "Asia"
"Tianmen" "Asia"
"Wuhan" "Asia"
"Xinyu" "Asia"
"Yunnan" "Asia"
"Zhejiang" "Asia"
"Bangladesh" "Asia"
"Romania" "Europe"
"Serbia" "Europe"
"Guam" "Oceania"
"Shenzhen" "Asia"
"Cambodia" "Asia"
"env" "Americas"
"Jiujiang" "Asia"
"Ganzhou" "Asia"
"Lebanon" "Asia"
"Henan" "Asia"
"JAM" "Americas"
"Nepal" "Asia"
"Costa_Rica" "Americas"
"Puerto_Rico" "Americas"
"Sichuan" "Asia"
"Uganda" "Africa"
"Jamaica" "Americas"
"Morocco" "Europe"
"Meizhou" "Asia"
"Nigeria" "Africa"
"Yichun" "Asia"
"Fuzhou" "Asia"
"Yingtan" "Asia"
"Croatia" "Europe"
"SouthAfrica" "Africa"
"environment" "Americas"
"Timor-Leste" "Asia"
"ITALY" "Europe"
"Kenya" "Africa"
"Oman" "Asia"
"Morocco" "Africa"
"Harbin" "Asia"
"Turkey" "Asia"
"Tunisia" "Africa"
